Customer,2025 Shipments,2025 Profit,2026 Shipments,2026 Profit,YoY Profit %,AIOS Opportunity
Techniplas + DMP Monterrey,60,100990,24,38352,-62.00%,Wallet Expansion
DOGA México Componentes,22,17303,28,33652,94.50%,Lane Expansion
Laerdal,67,16509,10,20723,25.50%,Service Expansion
Brahm Precision Products,10,2998,4,7985,166.30%,Service Expansion
Euro Water Technologies,6,4949,6,6647,34.30%,Cross-selling
Del Monte,16,13310,10,5940,-55.40%,Lane Expansion
Metalistik,11,3530,3,2290,-35.10%,Lane Expansion
,,,,,,
Servicios Agregados de Energía,9,3266,4,1515,-53.60%,Service Expansion
,,,,,,
Busman PI,5,3718,2,996,-73.20%,Service Expansion
La Capital de Selladas,17,5336,3,490,-90.80%,Reactivation
Proveedora de Bombas Motores y Compresores,1,140,1,224,60.00%,Service Expansion
Equipo Hidráulico Neumático y de Control,12,4690,1,133,-97.20%,Volume Recovery
